Question_No,Question,Topic_tags,Acceptance_rate,isPremium,Difficulty,Question_Link,Solution
82, Remove Duplicates from Sorted List II,"['Linked List', 'Two Pointers']",48.60%,FALSE,Medium,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii/description,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii/solutions
83, Remove Duplicates from Sorted List,['Linked List'],53.70%,FALSE,Easy,https://leetcode.com/problems/remove-duplicates-from-sorted-list/description,https://leetcode.com/problems/remove-duplicates-from-sorted-list/solutions
84, Largest Rectangle in Histogram,"['Array', 'Stack', 'Monotonic Stack']",45.80%,FALSE,Hard,https://leetcode.com/problems/largest-rectangle-in-histogram/description,https://leetcode.com/problems/largest-rectangle-in-histogram/solutions
85, Maximal Rectangle,"['Array', 'Dynamic Programming', '3+']",52.00%,FALSE,Hard,https://leetcode.com/problems/maximal-rectangle/description,https://leetcode.com/problems/maximal-rectangle/solutions
86, Partition List,"['Linked List', 'Two Pointers']",57.50%,FALSE,Medium,https://leetcode.com/problems/partition-list/description,https://leetcode.com/problems/partition-list/solutions
87, Scramble String,"['String', 'Dynamic Programming']",41.00%,FALSE,Hard,https://leetcode.com/problems/scramble-string/description,https://leetcode.com/problems/scramble-string/solutions
88, Merge Sorted Array,"['Array', 'Two Pointers', 'Sorting']",51.40%,FALSE,Easy,https://leetcode.com/problems/merge-sorted-array/description,https://leetcode.com/problems/merge-sorted-array/solutions
89, Gray Code,"['Math', 'Backtracking', 'Bit Manipulation']",60.30%,FALSE,Medium,https://leetcode.com/problems/gray-code/description,https://leetcode.com/problems/gray-code/solutions
90, Subsets II,"['Array', 'Backtracking', 'Bit Manipulation']",58.30%,FALSE,Medium,https://leetcode.com/problems/subsets-ii/description,https://leetcode.com/problems/subsets-ii/solutions
91, Decode Ways,"['String', 'Dynamic Programming']",35.60%,FALSE,Medium,https://leetcode.com/problems/decode-ways/description,https://leetcode.com/problems/decode-ways/solutions
92, Reverse Linked List II,['Linked List'],48.50%,FALSE,Medium,https://leetcode.com/problems/reverse-linked-list-ii/description,https://leetcode.com/problems/reverse-linked-list-ii/solutions
93, Restore IP Addresses,"['String', 'Backtracking']",51.40%,FALSE,Medium,https://leetcode.com/problems/restore-ip-addresses/description,https://leetcode.com/problems/restore-ip-addresses/solutions
94, Binary Tree Inorder Traversal,"['Stack', 'Tree', 'Depth-First Search', '1+']",77.30%,FALSE,Easy,https://leetcode.com/problems/binary-tree-inorder-traversal/description,https://leetcode.com/problems/binary-tree-inorder-traversal/solutions
95, Unique Binary Search Trees II,"['Dynamic Programming', 'Backtracking', '3+']",59.00%,FALSE,Medium,https://leetcode.com/problems/unique-binary-search-trees-ii/description,https://leetcode.com/problems/unique-binary-search-trees-ii/solutions
96, Unique Binary Search Trees,"['Math', 'Dynamic Programming', '3+']",61.70%,FALSE,Medium,https://leetcode.com/problems/unique-binary-search-trees/description,https://leetcode.com/problems/unique-binary-search-trees/solutions
97, Interleaving String,"['String', 'Dynamic Programming']",40.80%,FALSE,Medium,https://leetcode.com/problems/interleaving-string/description,https://leetcode.com/problems/interleaving-string/solutions
98, Validate Binary Search Tree,"['Tree', 'Depth-First Search', '2+']",33.60%,FALSE,Medium,https://leetcode.com/problems/validate-binary-search-tree/description,https://leetcode.com/problems/validate-binary-search-tree/solutions
99, Recover Binary Search Tree,"['Tree', 'Depth-First Search', '2+']",54.60%,FALSE,Medium,https://leetcode.com/problems/recover-binary-search-tree/description,https://leetcode.com/problems/recover-binary-search-tree/solutions
100, Same Tree,"['Tree', 'Depth-First Search', '2+']",63.60%,FALSE,Easy,https://leetcode.com/problems/same-tree/description,https://leetcode.com/problems/same-tree/solutions
101, Symmetric Tree,"['Tree', 'Depth-First Search', '2+']",57.80%,FALSE,Easy,https://leetcode.com/problems/symmetric-tree/description,https://leetcode.com/problems/symmetric-tree/solutions
102, Binary Tree Level Order Traversal,"['Tree', 'Breadth-First Search', 'Binary Tree']",68.90%,FALSE,Medium,https://leetcode.com/problems/binary-tree-level-order-traversal/description,https://leetcode.com/problems/binary-tree-level-order-traversal/solutions
103, Binary Tree Zigzag Level Order Traversal,"['Tree', 'Breadth-First Search', 'Binary Tree']",60.30%,FALSE,Medium,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/description,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/solutions
104, Maximum Depth of Binary Tree,"['Tree', 'Depth-First Search', '2+']",76.30%,FALSE,Easy,https://leetcode.com/problems/maximum-depth-of-binary-tree/description,https://leetcode.com/problems/maximum-depth-of-binary-tree/solutions
105, Construct Binary Tree from Preorder and Inorder Traversal,"['Array', 'Hash Table', '3+']",65.30%,FALSE,Medium,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/description,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/solutions
106, Construct Binary Tree from Inorder and Postorder Traversal,"['Array', 'Hash Table', '3+']",64.60%,FALSE,Medium,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal/description,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal/solutions
107, Binary Tree Level Order Traversal II,"['Tree', 'Breadth-First Search', 'Binary Tree']",64.60%,FALSE,Medium,https://leetcode.com/problems/binary-tree-level-order-traversal-ii/description,https://leetcode.com/problems/binary-tree-level-order-traversal-ii/solutions
108, Convert Sorted Array to Binary Search Tree,"['Array', 'Divide and Conquer', 'Tree', '2+']",72.90%,FALSE,Easy,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree/description,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree/solutions
109, Convert Sorted List to Binary Search Tree,"['Linked List', 'Divide and Conquer', '3+']",63.00%,FALSE,Medium,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree/description,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree/solutions
110, Balanced Binary Tree,"['Tree', 'Depth-First Search', 'Binary Tree']",53.70%,FALSE,Easy,https://leetcode.com/problems/balanced-binary-tree/description,https://leetcode.com/problems/balanced-binary-tree/solutions
111, Minimum Depth of Binary Tree,"['Tree', 'Depth-First Search', '2+']",49.20%,FALSE,Easy,https://leetcode.com/problems/minimum-depth-of-binary-tree/description,https://leetcode.com/problems/minimum-depth-of-binary-tree/solutions
112, Path Sum,"['Tree', 'Depth-First Search', '2+']",51.60%,FALSE,Easy,https://leetcode.com/problems/path-sum/description,https://leetcode.com/problems/path-sum/solutions
113, Path Sum II,"['Backtracking', 'Tree', '2+']",59.40%,FALSE,Medium,https://leetcode.com/problems/path-sum-ii/description,https://leetcode.com/problems/path-sum-ii/solutions
114, Flatten Binary Tree to Linked List,"['Linked List', 'Stack', 'Tree', '2+']",66.70%,FALSE,Medium,https://leetcode.com/problems/flatten-binary-tree-to-linked-list/description,https://leetcode.com/problems/flatten-binary-tree-to-linked-list/solutions
115, Distinct Subsequences,"['String', 'Dynamic Programming']",48.60%,FALSE,Hard,https://leetcode.com/problems/distinct-subsequences/description,https://leetcode.com/problems/distinct-subsequences/solutions
116, Populating Next Right Pointers in Each Node,"['Linked List', 'Tree', '3+']",63.90%,FALSE,Medium,https://leetcode.com/problems/populating-next-right-pointers-in-each-node/description,https://leetcode.com/problems/populating-next-right-pointers-in-each-node/solutions
117, Populating Next Right Pointers in Each Node II,"['Linked List', 'Tree', '3+']",53.90%,FALSE,Medium,https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii/description,https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii/solutions
118, Pascal's Triangle,"['Array', 'Dynamic Programming']",75.70%,FALSE,Easy,https://leetcode.com/problems/pascal's-triangle/description,https://leetcode.com/problems/pascal's-triangle/solutions
119, Pascal's Triangle II,"['Array', 'Dynamic Programming']",64.90%,FALSE,Easy,https://leetcode.com/problems/pascal's-triangle-ii/description,https://leetcode.com/problems/pascal's-triangle-ii/solutions
120, Triangle,"['Array', 'Dynamic Programming']",57.90%,FALSE,Medium,https://leetcode.com/problems/triangle/description,https://leetcode.com/problems/triangle/solutions
121, Best Time to Buy and Sell Stock,"['Array', 'Dynamic Programming']",54.30%,FALSE,Easy,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/description,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/solutions
122, Best Time to Buy and Sell Stock II,"['Array', 'Dynamic Programming', 'Greedy']",68.00%,FALSE,Medium,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/description,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/solutions
123, Best Time to Buy and Sell Stock III,"['Array', 'Dynamic Programming']",49.50%,FALSE,Hard,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/description,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/solutions
124, Binary Tree Maximum Path Sum,"['Dynamic Programming', 'Tree', '2+']",40.50%,FALSE,Hard,https://leetcode.com/problems/binary-tree-maximum-path-sum/description,https://leetcode.com/problems/binary-tree-maximum-path-sum/solutions
125, Valid Palindrome,"['Two Pointers', 'String']",49.10%,FALSE,Easy,https://leetcode.com/problems/valid-palindrome/description,https://leetcode.com/problems/valid-palindrome/solutions
126, Word Ladder II,"['Hash Table', 'String', 'Backtracking', '1+']",27.10%,FALSE,Hard,https://leetcode.com/problems/word-ladder-ii/description,https://leetcode.com/problems/word-ladder-ii/solutions
127, Word Ladder,"['Hash Table', 'String', 'Breadth-First Search']",40.80%,FALSE,Hard,https://leetcode.com/problems/word-ladder/description,https://leetcode.com/problems/word-ladder/solutions
128, Longest Consecutive Sequence,"['Array', 'Hash Table', 'Union Find']",47.60%,FALSE,Medium,https://leetcode.com/problems/longest-consecutive-sequence/description,https://leetcode.com/problems/longest-consecutive-sequence/solutions
129, Sum Root to Leaf Numbers,"['Tree', 'Depth-First Search', 'Binary Tree']",67.00%,FALSE,Medium,https://leetcode.com/problems/sum-root-to-leaf-numbers/description,https://leetcode.com/problems/sum-root-to-leaf-numbers/solutions
130, Surrounded Regions,"['Array', 'Depth-First Search', '3+']",41.10%,FALSE,Medium,https://leetcode.com/problems/surrounded-regions/description,https://leetcode.com/problems/surrounded-regions/solutions
131, Palindrome Partitioning,"['String', 'Dynamic Programming', '1+']",70.60%,FALSE,Medium,https://leetcode.com/problems/palindrome-partitioning/description,https://leetcode.com/problems/palindrome-partitioning/solutions
132, Palindrome Partitioning II,"['String', 'Dynamic Programming']",34.40%,FALSE,Hard,https://leetcode.com/problems/palindrome-partitioning-ii/description,https://leetcode.com/problems/palindrome-partitioning-ii/solutions
133, Clone Graph,"['Hash Table', 'Depth-First Search', '2+']",59.60%,FALSE,Medium,https://leetcode.com/problems/clone-graph/description,https://leetcode.com/problems/clone-graph/solutions
134, Gas Station,"['Array', 'Greedy']",45.60%,FALSE,Medium,https://leetcode.com/problems/gas-station/description,https://leetcode.com/problems/gas-station/solutions
135, Candy,"['Array', 'Greedy']",43.90%,FALSE,Hard,https://leetcode.com/problems/candy/description,https://leetcode.com/problems/candy/solutions
136, Single Number,"['Array', 'Bit Manipulation']",74.50%,FALSE,Easy,https://leetcode.com/problems/single-number/description,https://leetcode.com/problems/single-number/solutions
137, Single Number II,"['Array', 'Bit Manipulation']",64.00%,FALSE,Medium,https://leetcode.com/problems/single-number-ii/description,https://leetcode.com/problems/single-number-ii/solutions
138, Copy List with Random Pointer,"['Hash Table', 'Linked List']",58.10%,FALSE,Medium,https://leetcode.com/problems/copy-list-with-random-pointer/description,https://leetcode.com/problems/copy-list-with-random-pointer/solutions
139, Word Break,"['Array', 'Hash Table', 'String', '3+']",47.40%,FALSE,Medium,https://leetcode.com/problems/word-break/description,https://leetcode.com/problems/word-break/solutions
140, Word Break II,"['Array', 'Hash Table', 'String', '4+']",52.10%,FALSE,Hard,https://leetcode.com/problems/word-break-ii/description,https://leetcode.com/problems/word-break-ii/solutions
141, Linked List Cycle,"['Hash Table', 'Linked List', 'Two Pointers']",51.30%,FALSE,Easy,https://leetcode.com/problems/linked-list-cycle/description,https://leetcode.com/problems/linked-list-cycle/solutions
142, Linked List Cycle II,"['Hash Table', 'Linked List', 'Two Pointers']",53.00%,FALSE,Medium,https://leetcode.com/problems/linked-list-cycle-ii/description,https://leetcode.com/problems/linked-list-cycle-ii/solutions
143, Reorder List,"['Linked List', 'Two Pointers', 'Stack', '1+']",60.50%,FALSE,Medium,https://leetcode.com/problems/reorder-list/description,https://leetcode.com/problems/reorder-list/solutions
144, Binary Tree Preorder Traversal,"['Stack', 'Tree', 'Depth-First Search', '1+']",71.20%,FALSE,Easy,https://leetcode.com/problems/binary-tree-preorder-traversal/description,https://leetcode.com/problems/binary-tree-preorder-traversal/solutions
145, Binary Tree Postorder Traversal,"['Stack', 'Tree', 'Depth-First Search', '1+']",73.90%,FALSE,Easy,https://leetcode.com/problems/binary-tree-postorder-traversal/description,https://leetcode.com/problems/binary-tree-postorder-traversal/solutions
146, LRU Cache,"['Hash Table', 'Linked List', 'Design', '1+']",43.60%,FALSE,Medium,https://leetcode.com/problems/lru-cache/description,https://leetcode.com/problems/lru-cache/solutions
147, Insertion Sort List,"['Linked List', 'Sorting']",54.90%,FALSE,Medium,https://leetcode.com/problems/insertion-sort-list/description,https://leetcode.com/problems/insertion-sort-list/solutions
