Brand,model,Year,kmDriven,Transmission,Owner,FuelType,PostedDate,AdditionInfo,AskPrice,CarUrl
Maruti Suzuki,Swift-Dzire,2009,"62,000 km",Manual,second,Petrol,Today,"Maruti Suzuki Swift Dzire VXI(O) MT, 2009, Petrol","₹ 2,25,000",https://olx.in/item/cars-c84-used-maruti-suzuki-swift-dzire-in-kothrud-pune-iid-1786205898
Hyundai,i10,2011,"55,216 km",Automatic,second,Petrol,Yesterday,"Hyundai i10 Sportz AT, 2011, Petrol","₹ 2,95,000",https://olx.in/item/cars-c84-used-hyundai-i10-in-jayanagar-bengaluru-iid-1789141559
Land Rover,Range Rover Evoque,2019,"42,003 km",Automatic,first,Diesel,Today,"Land Rover Range Evoque HSE Dynamic, 2019, Diesel","₹ 38,50,000",https://olx.in/item/cars-c84-used-land-rover-range-rover-evoque-in-nerkundram-rajiv-gandhi-nagar-chennai-iid-1792495999
Maruti Suzuki,Swift,2015,"30,000 km",Manual,first,Petrol,3 days ago,"Maruti Suzuki Swift VXI Optional, 2015, Petrol","₹ 5,09,000",https://olx.in/item/cars-c84-used-maruti-suzuki-swift-in-kanjikuzhi-kottayam-iid-1793948918
Maruti Suzuki,Omni,2005,"60,000 km",Automatic,second,hybrid,Dec 11,Car is new condition,"₹ 75,000",https://olx.in/item/cars-c84-used-maruti-suzuki-omni-in-amtali-madhupur-iid-1792449811
Mercedes-Benz,E-Class,2016,"62,000 km",Automatic,second,Diesel,Today,"Mercedes-Benz E-Class E 250 CDI Avantgarde, 2016, Diesel","₹ 13,99,999",https://olx.in/item/cars-c84-used-mercedes-benz-e-class-in-karol-bagh-delhi-iid-1793739979
Maruti Suzuki,Swift-Dzire,2017,"68,000 km",Manual,first,hybrid,Today,"Maruti Suzuki Swift Dzire 2015-2017 1.2 LXI, 2017, CNG & Hybrids","₹ 4,90,000",https://olx.in/item/cars-c84-used-maruti-suzuki-swift-dzire-in-kalwar-road-jaipur-iid-1787217940
Maruti Suzuki,Celerio-X,2019,"86,000 km",Automatic,first,hybrid,5 days ago,show room candtion,"₹ 4,25,000",https://olx.in/item/cars-c84-used-maruti-suzuki-celerio-x-in-pradhikaran-nigdi-sector-27a-pune-iid-1793813514
Hyundai,i10,2009,"104,000 km",Automatic,second,hybrid,4 days ago,"Hyundai i10 1.2 Kappa Magna, 2009, CNG & Hybrids","₹ 2,25,000",https://olx.in/item/cars-c84-used-hyundai-i10-in-m-s-r-nagar-bengaluru-iid-1784654518
Nissan,Magnite,2022,"18,000 km",Manual,first,Petrol,Today,"Nissan Magnite 1.0 XV Dual Tone, 2022, Petrol","₹ 7,40,000",https://olx.in/item/cars-c84-used-nissan-magnite-in-sulthan-bathery-wayanad-iid-1790498757
Honda,City ZX,2008,"89,000 km",Manual,first,Petrol,Today,"Honda City ZX GXi, 2008, Petrol","₹ 2,35,000",https://olx.in/item/cars-c84-used-honda-city-zx-in-nungambakkam-chennai-iid-1793153073
Chevrolet,Cruze,2016,"84,231 km",Automatic,second,Diesel,Today,"Chevrolet Cruze LTZ AT, 2016, Diesel","₹ 6,50,000",https://olx.in/item/cars-c84-used-chevrolet-cruze-in-goregaon-west-mumbai-iid-1782755705
Toyota,Etios Liva,2016,"40,000 km",Manual,first,Petrol,Today,"Toyota Etios Liva 2014-2016 G, 2016, Petrol","₹ 3,90,000",https://olx.in/item/cars-c84-used-toyota-etios-liva-in-sector-11-faridabad-iid-1769762056
Jeep,Wrangler,2023,"8,000 km",Automatic,first,Petrol,3 days ago,"Jeep Wrangler 2.0 Rubicon Petrol AT, 2023, Petrol","₹ 61,50,000",https://olx.in/item/cars-c84-used-jeep-wrangler-in-camac-street-area-kolkata-iid-1792592611
Maruti Suzuki,Celerio,2022,"47,120 km",Manual,first,hybrid,Today,"Maruti Suzuki Celerio 2021-1.0 VXI CNG MT, 2022, CNG & Hybrids","₹ 5,25,180",https://olx.in/item/cars-c84-used-maruti-suzuki-celerio-in-vaishali-sector-4-ghaziabad-iid-1793590022
Honda,City,2009,"96,000 km",Automatic,second,hybrid,4 days ago,Honda City 2009 CNG & Hybrids Well Maintained,"₹ 2,00,000",https://olx.in/item/cars-c84-used-honda-city-in-bans-mandi-kanpur-iid-1793872455
Mahindra,Scorpio Classic,2022,"8,100 km",Manual,first,Diesel,Today,"Mahindra Scorpio Classic 2.2 S 11 MT 7 CC, 2022, Diesel","₹ 16,25,000",https://olx.in/item/cars-c84-used-mahindra-scorpio-classic-in-mayur-vihar-delhi-iid-1792382453
Mahindra,Scorpio,2018,"87,000 km",Manual,second,Diesel,Dec 17,"Mahindra Scorpio 2.2 S7, 2018, Diesel","₹ 8,49,000",https://olx.in/item/cars-c84-used-mahindra-scorpio-in-bhikaji-cama-place-delhi-iid-1792926155
BMW,3 Series,2022,"30,000 km",Automatic,first,Petrol,Today,"BMW 3 Series 3.0 M340i xDrive 50 Jahre M Edition, 2022, Petrol","₹ 59,75,000",https://olx.in/item/cars-c84-used-bmw-3-series-in-ambience-island-gurgaon-iid-1793036290
Hyundai,Accent,2011,"70,000 km",Automatic,second,hybrid,Dec 17,Hyundai Accent 2011 CNG & Hybrids Good Condition,"₹ 85,000",https://olx.in/item/cars-c84-used-hyundai-accent-in-tunda-nagar-delhi-iid-1792952527
Toyota,Fortuner,2020,"68,000 km",Automatic,first,Diesel,Today,"Toyota Fortuner 4X2 AT 2.8 Diesel, 2020, Diesel","₹ 31,21,000",https://olx.in/item/cars-c84-used-toyota-fortuner-in-nana-varachha-surat-iid-1773927655
Maruti Suzuki,Baleno,2017,32000.0 km,Automatic,first,hybrid,3 days ago,"Maruti Suzuki Baleno 1.2 Delta AT, 2017, CNG & Hybrids","₹ 5,25,000",https://olx.in/item/cars-c84-used-maruti-suzuki-baleno-in-sector-75-noida-iid-1774784810
Hyundai,Santro Xing,2012,"86,000 km",Manual,second,hybrid,Yesterday,"Hyundai Santro Xing GLS CNG, 2012, CNG & Hybrids","₹ 1,75,000",https://olx.in/item/cars-c84-used-hyundai-santro-xing-in-saket-delhi-iid-1772303280
Hyundai,Creta,2021,"48,000 km",Manual,first,Diesel,Today,"Hyundai Creta SX MT, 2021, Diesel","₹ 16,30,000",https://olx.in/item/cars-c84-used-hyundai-creta-in-kannur-payyannur-iid-1754223707
Toyota,Innova Crysta,2017,"108,476 km",Automatic,first,Diesel,Today,"Toyota Innova Crysta 2.8Z Automatic, 2017, Diesel","₹ 19,95,000",https://olx.in/item/cars-c84-used-toyota-innova-crysta-in-nungambakkam-chennai-iid-1789639859
Toyota,Yaris,2018,"110,000 km",Automatic,second,Petrol,Today,"Toyota Yaris J CVT, 2018, Petrol","₹ 6,00,000",https://olx.in/item/cars-c84-used-toyota-yaris-in-kalavasal-madurai-iid-1793535028
Hyundai,Santro,2018,45000.0 km,Automatic,first,hybrid,3 days ago,"Hyundai Santro Sportz, 2018, CNG & Hybrids","₹ 4,50,000",https://olx.in/item/cars-c84-used-hyundai-santro-in-abu-lane-meerut-iid-1765443587
Renault,Duster,2014,"108,000 km",Manual,second,Diesel,Today,"Renault Duster 2012-2015 85PS Diesel RxL, 2014, Diesel","₹ 3,65,000",https://olx.in/item/cars-c84-used-renault-duster-in-ganeshnagar-karimnagar-iid-1774009939
Datsun,Redi Go,2016,"72,142 km",Manual,second,hybrid,Yesterday,"Datsun Redi Go Limited Edition 2018, 2016, CNG & Hybrids","₹ 1,78,000",https://olx.in/item/cars-c84-used-datsun-redi-go-in-ghaziabad-uttar-pradesh-iid-1791411154
Maruti Suzuki,Ertiga,2023,"39,000 km",Manual,first,hybrid,Today,"Maruti Suzuki Ertiga 2022-2023 ZXI, 2023, CNG & Hybrids","₹ 12,40,000",https://olx.in/item/cars-c84-used-maruti-suzuki-ertiga-in-pune-cantonment-pune-iid-1785391945
Ford,Endeavour,2018,"121,000 km",Automatic,first,Diesel,Today,"Ford Endeavour 3.2 Titanium AT 4X4, 2018, Diesel","₹ 26,50,000",https://olx.in/item/cars-c84-used-ford-endeavour-in-dwarka-nashik-iid-1780800535
Mahindra,XUV500,2015,"73,000 km",Manual,second,Diesel,4 days ago,"Mahindra XUV500 2.2 W10, 2015, Diesel","₹ 7,50,000",https://olx.in/item/cars-c84-used-mahindra-xuv500-in-shahalam-ahmedabad-iid-1791683193
Mercedes-Benz,GLA,2017,"75,000 km",Automatic,second,Diesel,Today,"Mercedes-Benz GLA 200 D, 2017, Diesel","₹ 18,75,000",https://olx.in/item/cars-c84-used-mercedes-benz-gla-in-vip-estate-raipur-iid-1793748047
Maruti Suzuki,Swift-Dzire,2018,"120,000 km",Automatic,second,Petrol,Today,"Maruti Suzuki Swift Dzire ZXI + AMT, 2018, Petrol","₹ 5,90,000",https://olx.in/item/cars-c84-used-maruti-suzuki-swift-dzire-in-malappuram-up-hill-malappuram-iid-1792812326
Hyundai,Creta,2016,"85,000 km",Manual,first,Petrol,Today,"Hyundai Creta 1.6 EX Petrol, 2016, Petrol","₹ 7,25,000",https://olx.in/item/cars-c84-used-hyundai-creta-in-kolathur-balaji-nagar-chennai-iid-1773930237
Maruti Suzuki,Swift-Dzire,2023,"53,000 km",Manual,first,hybrid,Today,Maruti Suzuki Swift Dzire 2023,"₹ 5,80,000",https://olx.in/item/cars-c84-used-maruti-suzuki-swift-dzire-in-chand-nagar-delhi-iid-1793924693
Hyundai,Grand i10,2016,"90,000 km",Manual,first,hybrid,Yesterday,"Hyundai Grand i10 Sportz 1.2 Kappa VTVT, 2016, CNG & Hybrids","₹ 3,75,000",https://olx.in/item/cars-c84-used-hyundai-grand-i10-in-bhikaji-cama-place-delhi-iid-1790714112
Toyota,Fortuner,2014,"131,000 km",Automatic,second,Diesel,Yesterday,On Good Condition,"₹ 21,00,000",https://olx.in/item/cars-c84-used-toyota-fortuner-in-greamspet-chittoor-iid-1794188217
Maruti Suzuki,Swift-Dzire,2018,"72,000 km",Automatic,first,Petrol,Today,"Maruti Suzuki Swift Dzire VXI(O) AMT, 2018, Petrol","₹ 6,95,000",https://olx.in/item/cars-c84-used-maruti-suzuki-swift-dzire-in-vadavalli-coimbatore-iid-1789636599
Nissan,Micra,2013,"60,000 km",Manual,second,Petrol,Today,"Nissan Micra XL Petrol, 2013, Petrol","₹ 3,30,000",https://olx.in/item/cars-c84-used-nissan-micra-in-saravanampatti-coimbatore-iid-1787764305
Hyundai,Santro,2012,"107,000 km",Manual,first,hybrid,Today,"Hyundai Santro GS ZIP Plus, 2012, CNG & Hybrids","₹ 1,60,000",https://olx.in/item/cars-c84-used-hyundai-santro-in-rajouri-garden-delhi-iid-1793307133
Renault,Triber,2020,"105,000 km",Manual,first,hybrid,Today,"Renault Triber RXT, 2020, CNG & Hybrids","₹ 3,85,000",https://olx.in/item/cars-c84-used-renault-triber-in-sector-9-faridabad-iid-1791471378
MG,Hector,2020,"38,000 km",Automatic,first,Petrol,4 days ago,"MG Hector 1.5 Smart DCT, 2020, Petrol","₹ 11,50,000",https://olx.in/item/cars-c84-used-mg-hector-in-sector-12-faridabad-iid-1793871155
Hyundai,Fluidic Verna,2013,"32,230 km",Automatic,first,Petrol,Today,"Hyundai Fluidic Verna 1.6 VTVT S (O) Automatic, 2013, Petrol","₹ 8,85,000",https://olx.in/item/cars-c84-used-hyundai-fluidic-verna-in-kinfra-industries-park-koratty-iid-1757794087
Maruti Suzuki,Celerio,2014,"79,000 km",Manual,second,Petrol,Today,"Maruti Suzuki Celerio, 2014, Petrol","₹ 3,59,000",https://olx.in/item/cars-c84-used-maruti-suzuki-celerio-in-mettupalayam-coimbatore-iid-1789165665
Ford,Ecosport,2016,"148,000 km",Manual,second,Diesel,Today,Ford Ecosport  Diesel Well Maintained\n6 Air Bags,"₹ 5,50,000",https://olx.in/item/cars-c84-used-ford-ecosport-in-revenue-colony-kurnool-iid-1791936737
Porsche,Macan,2023,"11,000 km",Automatic,first,Petrol,Aug 17,"Porsche Macan 2.0 Petrol, 2023, Petrol","₹ 88,50,000",https://olx.in/item/cars-c84-used-porsche-macan-in-alpha-i-greater-noida-iid-1780734360
Maruti Suzuki,Eeco,2021,"73,000 km",Automatic,first,hybrid,Dec 10,Maruti Suzuki Eeco 2021 CNG & Hybrids 73000 Km Driven,"₹ 4,50,000",https://olx.in/item/cars-c84-used-maruti-suzuki-eeco-in-ananthavaram-guntur-iid-1791552966
Renault,Triber,2019,"50,000 km",Manual,second,Petrol,Dec 02,"Renault Triber RXT, 2019, Petrol","₹ 5,15,000",https://olx.in/item/cars-c84-used-renault-triber-in-valiyaveli-bo-thiruvananthapuram-iid-1788901827
Toyota,Innova Hycross,2024,1 km,Automatic,first,hybrid,Dec 09,New Hycross zx all colour available,"₹ 30,98,000",https://olx.in/item/cars-c84-used-toyota-innova-hycross-in-jain-nagar-abohar-iid-1776528737
Maruti Suzuki,Estilo,2010,"76,926 km",Manual,first,Petrol,Today,"Maruti Suzuki Estilo VXi, 2010, Petrol","₹ 2,20,000",https://olx.in/item/cars-c84-used-maruti-suzuki-estilo-in-jaya-nagar-east-bengaluru-iid-1785143743
MG,Hector,2020,"27,000 km",Automatic,second,Petrol,Today,"MG Hector 1.5 DCT Sharp, 2020, Petrol","₹ 12,50,000",https://olx.in/item/cars-c84-used-mg-hector-in-mansarovar-garden-delhi-iid-1793114264
Hyundai,i20,2017,"118,000 km",Manual,second,Diesel,Today,"Hyundai i20 Diesel Sportz, 2017, Diesel","₹ 5,25,000",https://olx.in/item/cars-c84-used-hyundai-i20-in-kolathur-kannagi-nagar-chennai-iid-1781861753
Ford,Figo,2013,"96,000 km",Automatic,second,Diesel,Today,Ford Figo 2013 Diesel 96000 Km Driven,"₹ 1,65,000",https://olx.in/item/cars-c84-used-ford-figo-in-officers-colony-orai-jalaun-district-iid-1794202295
Hyundai,i10,2009,"130,000 km",Manual,second,hybrid,Today,Hyundai i10 2009 now Registered in Haridwar and valid upto 2029,"₹ 1,50,000",https://olx.in/item/cars-c84-used-hyundai-i10-in-dadpur-govindpur-bahadarabad-iid-1774865869
Maruti Suzuki,Eeco,2019,"114,300 km",Automatic,second,hybrid,Dec 11,Maruti Suzuki Eeco 2019 CNG & Hybrids Good Condition,"₹ 4,50,000",https://olx.in/item/cars-c84-used-maruti-suzuki-eeco-in-bhuwana-udaipur-iid-1792415574
Ford,Endeavour,2017,"90,000 km",Automatic,second,Diesel,Today,"Ford Endeavour 3.2 Titanium Plus 4X4 AT, 2017, Diesel","₹ 18,90,000",https://olx.in/item/cars-c84-used-ford-endeavour-in-ambience-island-gurgaon-iid-1789272360
Hyundai,i10,2011,"42,300 km",Automatic,second,hybrid,Dec 22,Hyundai i10 2011 CNG & Hybrids 42300 Km Driven no problems best gadi,"₹ 1,90,000",https://olx.in/item/cars-c84-used-hyundai-i10-in-rajendra-nagar-society-tharad-iid-1793406108
Hyundai,Santro,2018,"74,000 km",Manual,first,hybrid,Today,"Hyundai Santro Magna, 2018, CNG & Hybrids","₹ 3,90,000",https://olx.in/item/cars-c84-used-hyundai-santro-in-parvat-patiya-surat-iid-1793300838
Honda,City,2010,"107,200 km",Automatic,second,hybrid,Dec 17,Honda City 2010 CNG & Hybrids 99200 Km Driven,"₹ 3,15,000",https://olx.in/item/cars-c84-used-honda-city-in-parkhet-bharuch-iid-1765458449
Mercedes-Benz,C-Class,2017,"42,000 km",Automatic,second,Petrol,Yesterday,"Mercedes-Benz C-Class C 200, 2017, Petrol","₹ 22,75,000",https://olx.in/item/cars-c84-used-mercedes-benz-c-class-in-vasant-kunj-delhi-iid-1776478002
Maruti Suzuki,Baleno,2018,"50,000 km",Manual,second,Petrol,Today,"Maruti Suzuki Baleno 1.2 Delta, 2018, Petrol","₹ 5,00,000",https://olx.in/item/cars-c84-used-maruti-suzuki-baleno-in-preet-vihar-delhi-iid-1773403318
Honda,City,2014,"76,800 km",Manual,second,Diesel,Today,"Honda City 2014-2015 i DTEC VX Option, 2014, Diesel","₹ 5,90,000",https://olx.in/item/cars-c84-used-honda-city-in-everest-vihar-jaipur-iid-1782136463
Hyundai,i20,2013,"73,000 km",Manual,first,hybrid,Today,"Hyundai i20 1.2 Asta, 2013, CNG & Hybrids","₹ 3,00,000",https://olx.in/item/cars-c84-used-hyundai-i20-in-raj-nagar-rdc-ghaziabad-iid-1791012046
Maruti Suzuki,Wagon R,2016,"61,000 km",Manual,second,hybrid,Sep 01,"Maruti Suzuki Wagon R VXI, 2016, CNG & Hybrids","₹ 3,95,000",https://olx.in/item/cars-c84-used-maruti-suzuki-wagon-r-in-karol-bagh-delhi-iid-1782322015
Maruti Suzuki,Omni,2016,"115,000 km",Automatic,second,hybrid,Dec 19,Maruti Suzuki Omni 2016 CNG & Hybrids 115000 Km Driven,"₹ 2,60,000",https://olx.in/item/cars-c84-used-maruti-suzuki-omni-in-bishalgarh-gakulnagar-iid-1793108495
Toyota,Innova Hycross,2024,"3,000 km",Automatic,first,hybrid,3 days ago,Brand new Toyota Innova Hycross VX (Gold Standard car),"₹ 30,00,000",https://olx.in/item/cars-c84-used-toyota-innova-hycross-in-preet-vihar-amritsar-iid-1794004259
Mercedes-Benz,S-Class,2008,"114,256 km",Automatic,second,Diesel,Yesterday,Mercedes-Benz S-Class 2008 Diesel Good Condition,"₹ 6,00,000",https://olx.in/item/cars-c84-used-mercedes-benz-s-class-in-khamanon-kalan-khamanon-iid-1793904307
Volkswagen,VentoTest,2011,"77,900 km",Manual,second,Petrol,Today,Volkswagen Vento 2011 Petrol Good Condition,"₹ 2,25,000",https://olx.in/item/cars-c84-used-volkswagen-ventotest-in-garhi-cant-dehradun-iid-1792409648
Hyundai,Xcent,2019,"46,000 km",Manual,first,Petrol,Today,"Hyundai Xcent 1.2 VTVT SX Option, 2019, Petrol","₹ 5,10,000",https://olx.in/item/cars-c84-used-hyundai-xcent-in-uday-vihar-dehradun-iid-1781863683
Mercedes-Benz,E-Class,2013,"89,000 km",Automatic,second,Diesel,Yesterday,"Mercedes-Benz E-Class 220 CDI Sport, 2013, Diesel","₹ 7,99,000",https://olx.in/item/cars-c84-used-mercedes-benz-e-class-in-anand-nagar-pune-iid-1793731559
Maruti Suzuki,Baleno,2022,"21,500 km",Automatic,first,Petrol,Today,"Maruti Suzuki Baleno 1.2 Alpha AT, 2022, Petrol","₹ 8,60,000",https://olx.in/item/cars-c84-used-maruti-suzuki-baleno-in-new-vijay-nagar-jalandhar-iid-1768243550
Renault,KWID,2018,"50,000 km",Automatic,first,Petrol,Today,"Renault KWID 1.0 RXT EDITION, 2018, Petrol","₹ 3,65,000",https://olx.in/item/cars-c84-used-renault-kwid-in-kukatpally-hyderabad-iid-1772875850
Maruti Suzuki,Baleno,2017,"52,551 km",Manual,second,hybrid,Yesterday,Maruti Suzuki Baleno CNG & Hybrids 52551 Km Driven,"₹ 5,50,000",https://olx.in/item/cars-c84-used-maruti-suzuki-baleno-in-gharwatanr-baludih-tenu-iid-1794181397
Maruti Suzuki,Eeco,2020,"56,000 km",Automatic,second,hybrid,Yesterday,Maruti Suzuki Eeco 2020 CNG & Hybrids 56000 Km Driven,"₹ 4,30,000",https://olx.in/item/cars-c84-used-maruti-suzuki-eeco-in-tulsidas-wadi-bhavnagar-iid-1794128539
Maruti Suzuki,Wagon-R-1-0,2024,"27,500 km",Automatic,first,hybrid,Yesterday,Maruti Suzuki Wagon R 1.0 2024 CNG & Hybrids 27500 Km Driven,"₹ 1,80,000",https://olx.in/item/cars-c84-used-maruti-suzuki-wagon-r-1-0-in-kherli-hafizpur-bilaspur-gautam-buddha-nagar-district-iid-1794181321
Hyundai,Grand i10,2019,"31,771 km",Manual,first,Petrol,Today,"Hyundai Grand i10 Sportz 1.2 Kappa VTVT, 2019, Petrol","₹ 4,65,000",https://olx.in/item/cars-c84-used-hyundai-grand-i10-in-sh-mount-kottayam-iid-1791935171
Maruti Suzuki,Wagon-R,2016,"52,000 km",Automatic,second,hybrid,Yesterday,"Maruti Suzuki Wagon R VXI AMT1.2, 2016, CNG & Hybrids","₹ 3,25,000",https://olx.in/item/cars-c84-used-maruti-suzuki-wagon-r-in-karol-bagh-delhi-iid-1788508634
Mercedes-Benz,GLC,2017,"94,000 km",Automatic,first,Petrol,Today,"Mercedes-Benz GLC 300 4MATIC, 2017, Petrol","₹ 34,00,000",https://olx.in/item/cars-c84-used-mercedes-benz-glc-in-ernakulam-kochi-iid-1759547938
Maruti Suzuki,Celerio-X,2018,"40,500 km",Manual,second,Petrol,Today,"Maruti Suzuki Celerio X ZXI(O) MT, 2018, Petrol","₹ 4,45,000",https://olx.in/item/cars-c84-used-maruti-suzuki-celerio-x-in-dwarka-sector-24-delhi-iid-1792564558
Honda,Civic,2009,"122,000 km",Automatic,second,hybrid,Dec 23,Honda Civic 2009 CNG & Hybrids 122000 Km Driven,"₹ 1,40,000",https://olx.in/item/cars-c84-used-honda-civic-in-kotramangalam-tirupati-iid-1793482426
Maruti Suzuki,Wagon-R-1-0,2013,"71,924 km",Manual,first,hybrid,Today,"Maruti Suzuki Wagon R 1.0 LXi CNG, 2013, CNG & Hybrids","₹ 2,58,190",https://olx.in/item/cars-c84-used-maruti-suzuki-wagon-r-1-0-in-sector-12-faridabad-iid-1792587654
Hyundai,Verna,2022,"25,000 km",Automatic,first,Petrol,Today,"Hyundai Verna SX 1.5 Petrol IVT, 2022, Petrol","₹ 11,75,000",https://olx.in/item/cars-c84-used-hyundai-verna-in-bibwewadi-pune-iid-1794213913
Ford,Ecosport,2019,"56,516 km",Automatic,first,Petrol,Dec 17,"Ford Ecosport 1.5 Petrol Titanium Plus AT, 2019, Petrol","₹ 7,85,000",https://olx.in/item/cars-c84-used-ford-ecosport-in-teen-hath-naka-thane-iid-1792937643
Audi,A6,2013,"99,000 km",Automatic,first,Diesel,Today,"Audi A6 2.0 TDI, 2013, Diesel","₹ 12,65,000",https://olx.in/item/cars-c84-used-audi-a6-in-aggar-nagar-ludhiana-iid-1783457904
Hyundai,Verna,2012,"97,000 km",Automatic,second,hybrid,2 days ago,"Hyundai Verna 2011-2014 1.6 SX VTVT AT, 2012, CNG & Hybrids","₹ 2,45,000",https://olx.in/item/cars-c84-used-hyundai-verna-in-karol-bagh-delhi-iid-1791980611
Maruti Suzuki,Ertiga,2020,"42,586 km",Manual,first,hybrid,Today,"Maruti Suzuki Ertiga 1.4 VXI CNG Anniversary Edition, 2020, CNG & Hy..","₹ 10,25,007",https://olx.in/item/cars-c84-used-maruti-suzuki-ertiga-in-katraj-pune-iid-1781297334
Hyundai,i20,2012,"40,500 km",Manual,second,hybrid,Yesterday,"Hyundai i20 2012-2014 Magna Optional 1.2, 2012, CNG & Hybrids","₹ 2,85,000",https://olx.in/item/cars-c84-used-hyundai-i20-in-model-town-delhi-iid-1781038677
Hyundai,Santro,2009,"53,000 km",Manual,second,Petrol,Today,"Hyundai Santro Magna, 2009, Petrol","₹ 2,35,000",https://olx.in/item/cars-c84-used-hyundai-santro-in-kanuvai-coimbatore-iid-1787030917
Toyota,Etios,2011,"82,000 km",Manual,second,Petrol,Today,"Toyota Etios 2010-2012 G, 2011, Petrol","₹ 1,75,000",https://olx.in/item/cars-c84-used-toyota-etios-in-rohini-sector-16-delhi-iid-1793296327
Maruti Suzuki,Eeco,2017,"31,000 km",Manual,first,hybrid,Yesterday,Maruti Suzuki Eeco 2017 CNG & Hybrids 31000 Km Driven,"₹ 4,30,000",https://olx.in/item/cars-c84-used-maruti-suzuki-eeco-in-basera-complex-silvassa-iid-1794192546
Maruti Suzuki,Celerio,2022,"62,000 km",Manual,first,Petrol,Today,"Maruti Suzuki Celerio 2021-1.0 VXI CNG MT, 2022, Petrol","₹ 5,75,000",https://olx.in/item/cars-c84-used-maruti-suzuki-celerio-in-kamta-lucknow-iid-1787371024
Maruti Suzuki,S-Cross,2015,"81,000 km",Manual,first,Diesel,Today,"Maruti Suzuki S-Cross Delta 1.6, 2015, Diesel","₹ 6,80,000",https://olx.in/item/cars-c84-used-maruti-suzuki-s-cross-in-ameerpet-hyderabad-iid-1791007962
Maruti Suzuki,Swift-Dzire,2019,"70,000 km",Manual,second,Diesel,Today,Kam nhi hoga please kam wale sms na kare,"₹ 6,25,000",https://olx.in/item/cars-c84-used-maruti-suzuki-swift-dzire-in-baghella-varanasi-iid-1792969709
BMW,3 Series GT,2016,"100,000 km",Automatic,first,Diesel,Today,"BMW 3 Series GT 320d Luxury Line, 2016, Diesel","₹ 23,70,000",https://olx.in/item/cars-c84-used-bmw-3-series-gt-in-ram-nagar-coimbatore-iid-1779731289
